ame,price,url,energy_kcal,protein_g,fat_g,carbs_g,salt_g,calcium_mg,vegetables_g,iron_mg,vitaminA_ugRAE,vitaminB1_mg,vitaminB2_mg,vitaminC_mg
辛みそ豚丼（小）,,https://comenu.jp/niigata-univ/397604/menu/10237,513,,11.1,76.9,1.3,0,35,0.7,7,0.49,0.14,0
辛みそ豚丼（中）,,https://comenu.jp/niigata-univ/397604/menu/10238,720,,16.0,107.1,1.8,0,50,1.0,10,0.7,0.2,0
辛みそ豚丼（大）,,https://comenu.jp/niigata-univ/397604/menu/10239,958,,22.4,138.8,2.5,0,70,1.4,14,0.98,0.28,0
ねぎとろ丼,,https://comenu.jp/niigata-univ/397604/menu/10921,617,,12.0,96.5,1.9,12,3,1.3,35,0.09,0.08,3
ほっき貝カレー（小）,,https://comenu.jp/niigata-univ/397604/menu/12098,413,,5.0,77.6,2.1,30,0,1.8,10,0.02,0.06,1
ほっき貝カレー（中）,,https://comenu.jp/niigata-univ/397604/menu/12099,590,,7.7,109.6,3.2,46,0,2.8,15,0.04,0.1,1
ほっき貝カレー（大）,,https://comenu.jp/niigata-univ/397604/menu/12100,759,,9.9,140.6,4.1,60,0,3.7,20,0.05,0.12,1
カレーライス（小）,,https://comenu.jp/niigata-univ/397604/menu/12930,436,,7.8,80.9,2.6,26,5,1.3,39,0.0,0.0,0
カレーライス（中）,,https://comenu.jp/niigata-univ/397604/menu/12931,575,,9.0,109.0,3.0,30,6,1.5,45,0.0,0.0,0
カレーライス（大）,,https://comenu.jp/niigata-univ/397604/menu/12932,734,,11.4,139.3,3.8,38,8,1.9,57,0.0,0.0,0
さっぽろ味噌ラーメン,,https://comenu.jp/niigata-univ/397604/menu/15490,544,,9.7,90.9,7.2,241,101,1.7,1,0.2,0.42,8
さっぽろ味噌ラーメン（大）,,https://comenu.jp/niigata-univ/397604/menu/15491,708,,10.4,125.2,7.4,340,101,2.2,1,0.23,0.44,8
醤油ラーメン,,https://comenu.jp/niigata-univ/397604/menu/15917,451,,10.1,72.4,7.2,24,27,0.9,1,0.18,0.06,1
醤油ラーメン（大）,,https://comenu.jp/niigata-univ/397604/menu/15918,617,,10.9,106.1,7.5,34,27,1.2,1,0.23,0.08,1
かけうどん,,https://comenu.jp/niigata-univ/397604/menu/17390,347,,2.0,73.8,4.2,18,10,0.5,0,0.1,0.03,1
かけうどん（大）,,https://comenu.jp/niigata-univ/397604/menu/17391,508,,3.0,108.1,4.5,26,10,0.8,0,0.15,0.04,1
かけそば,,https://comenu.jp/niigata-univ/397604/menu/17392,338,,2.4,64.3,4.7,31,10,2.2,0,0.21,0.09,1
かけそば（大）,,https://comenu.jp/niigata-univ/397604/menu/17393,487,,3.6,92.3,4.9,41,10,3.1,0,0.31,0.12,1
かき揚げうどん,,https://comenu.jp/niigata-univ/397604/menu/17933,462,,4.3,94.6,5.5,43,41,0.7,64,0.12,0.05,5
かき揚げうどん（大）,,https://comenu.jp/niigata-univ/397604/menu/17934,623,,5.3,128.9,5.8,51,41,1.0,64,0.17,0.06,5
かき揚げそば,,https://comenu.jp/niigata-univ/397604/menu/17935,453,,4.7,85.1,6.0,56,41,2.4,64,0.23,0.11,5
かき揚げそば（大）,,https://comenu.jp/niigata-univ/397604/menu/17936,602,,5.9,113.1,6.2,66,41,3.3,64,0.33,0.14,5
肉野菜炒めプレート（中）,,https://comenu.jp/niigata-univ/397604/menu/300168,559,,10.7,88.5,3.9,38,219,0.8,157,0.51,0.25,23
肉野菜炒めプレート（小）,,https://comenu.jp/niigata-univ/397604/menu/300169,440,,10.7,62.6,3.9,38,219,0.8,157,0.51,0.25,23
肉野菜炒めプレート（大）,,https://comenu.jp/niigata-univ/397604/menu/300170,678,,10.7,114.4,3.9,38,219,0.8,157,0.51,0.25,23
ホッケ塩焼き,,https://comenu.jp/niigata-univ/397604/menu/3280,146,,7.9,0.8,1.7,0,0,0.0,0,0.0,0.0,0
揚げ鶏の香味ソース,,https://comenu.jp/niigata-univ/397604/menu/3318,230,,8.4,24.6,3.0,19,37,0.3,5,0.05,0.06,16
桜姫鶏デミチーズメンチ,,https://comenu.jp/niigata-univ/397604/menu/3323,429,,32.4,24.9,1.9,127,47,1.9,40,0.2,0.17,15
ポーク生姜焼き,,https://comenu.jp/niigata-univ/397604/menu/3329,257,,15.1,7.8,1.4,0,50,1.0,10,0.7,0.2,0
ねぎ塩ハンバーグ,,https://comenu.jp/niigata-univ/397604/menu/3334,255,,13.8,16.9,2.4,52,62,1.2,33,0.12,0.12,17
ジャンボたらカツ,,https://comenu.jp/niigata-univ/397604/menu/3424,603,,43.2,29.9,1.0,40,35,0.7,9,0.09,0.17,16
さば味噌煮,,https://comenu.jp/niigata-univ/397604/menu/4063,209,,15.0,6.8,0.8,8,0,0.6,25,0.08,0.2,1
旨辛豆腐,,https://comenu.jp/niigata-univ/397604/menu/4346,111,,3.6,10.6,1.5,78,29,1.1,1,0.1,0.07,3
かぼちゃとチーズの包み揚げ,,https://comenu.jp/niigata-univ/397604/menu/4354,227,,14.4,21.5,0.8,16,10,0.3,34,0.04,0.02,7
明太子スパゲティサラダ,,https://comenu.jp/niigata-univ/397604/menu/4355,103,,6.5,8.9,1.1,7,10,0.3,6,0.03,0.02,3
揚げ餃子,,https://comenu.jp/niigata-univ/397604/menu/5006,87,,4.7,8.6,0.4,8,13,0.1,1,0.03,0.01,5
薩摩ハーブ鶏のレバー煮,,https://comenu.jp/niigata-univ/397604/menu/5137,82,,2.1,6.2,1.3,5,0,3.1,6161,0.16,0.71,8
オクラのお浸し,,https://comenu.jp/niigata-univ/397604/menu/5204,20,,0.1,4.4,0.3,45,50,0.3,0,0.05,0.05,4
野菜生活１００,,https://comenu.jp/niigata-univ/397604/menu/5206,34,,0.0,8.3,0.0,4,0,0.0,200,0.0,0.0,25
温泉たまご,,https://comenu.jp/niigata-univ/397604/menu/5211,78,,5.6,1.9,0.2,25,0,0.8,116,0.03,0.61,0
ひじき煮,,https://comenu.jp/niigata-univ/397604/menu/5213,48,,2.4,4.9,0.8,31,4,0.4,38,0.02,0.02,0
煮卵,,https://comenu.jp/niigata-univ/397604/menu/5227,76,,4.8,1.7,0.6,0,0,0.0,0,0.0,0.0,0
ごろっと野菜のツナマヨサラダ,,https://comenu.jp/niigata-univ/397604/menu/6046,203,,12.5,15.5,0.8,25,80,0.6,35,0.11,0.06,43
ポテト＆コーンサラダ,,https://comenu.jp/niigata-univ/397604/menu/6052,82,,4.0,10.5,0.6,25,47,0.2,8,0.03,0.02,18
ライス１３０ｇ（小）,,https://comenu.jp/niigata-univ/397604/menu/7051,221,,0.0,48.1,0.0,0,0,0.0,0,0.0,0.0,0
ライス２００ｇ（中）,,https://comenu.jp/niigata-univ/397604/menu/7052,340,,0.0,74.0,0.0,0,0,0.0,0,0.0,0.0,0
ライス２７０ｇ（大）,,https://comenu.jp/niigata-univ/397604/menu/7053,459,,0.0,99.9,0.0,0,0,0.0,0,0.0,0.0,0
麦ご飯１３０ｇ（小）,,https://comenu.jp/niigata-univ/397604/menu/7055,206,,0.1,45.5,0.0,2,0,0.6,0,0.0,0.0,0
麦ご飯２００ｇ（中）,,https://comenu.jp/niigata-univ/397604/menu/7056,316,,0.1,69.7,0.0,3,0,0.9,0,0.0,0.0,0
麦ご飯２７０ｇ（大）,,https://comenu.jp/niigata-univ/397604/menu/7057,436,,0.2,96.3,0.0,4,0,1.3,0,0.0,0.0,0
味噌汁（豆腐・わかめ）,,https://comenu.jp/niigata-univ/397604/menu/8001,22,,0.5,2.8,1.5,0,0,0.0,0,0.0,0.0,0
豚汁,,https://comenu.jp/niigata-univ/397604/menu/8097,71,,2.6,6.9,1.5,21,41,0.5,82,0.11,0.03,5
フルーツミックスヨーグルト,,https://comenu.jp/niigata-univ/397604/menu/9128,53,,1.2,9.4,0.0,51,0,0.0,12,0.01,0.05,9
ショコラケーキ,,https://comenu.jp/niigata-univ/397604/menu/9142,126,,9.2,10.0,0.0,13,0,0.8,29,0.01,0.03,0
モンブラン,,https://comenu.jp/niigata-univ/397604/menu/9144,138,,8.8,12.9,0.0,14,0,0.2,40,0.01,0.04,0
抹茶きなこケーキ,,https://comenu.jp/niigata-univ/397604/menu/9159,133,,8.7,11.9,0.0,17,0,0.3,39,0.02,0.04,0
十勝大福,,https://comenu.jp/niigata-univ/397604/menu/9174,223,,0.5,50.6,0.2,11,0,0.8,0,0.09,0.03,0
